delta_sig,Kf,sigma_res,Rp0.2,R
311.898918001322,2.45486649505715,-84.5306383774646,297.406168506464,-0.834479835688173
500.044381323942,2.77411610118129,347.586946990499,379.499451855979,-0.131827190777247
715.171820383754,2.50461714853883,946.56704027879,940.477666539232,-0.0391264059110061
482.477632863819,2.46672319298487,74.2222243830778,406.622486265484,0.440310697954357
663.98363493933,2.61560190086498,-32.9377338589508,979.498038374516,0.419690009333243
565.755451675097,2.90770238318864,-15.1330432748619,1008.50907314039,-0.028257684569518
535.841645803621,2.61178626185519,341.387184814137,385.738026793295,0.674292349113952
496.688973391807,2.46897606777567,-251.262331702535,1008.12961299572,0.342368166693106
461.183336761377,2.4778870713604,185.001947476416,419.714894785568,-0.134572036086003
409.659023184733,2.47001415136712,90.6914139772495,890.71807532388,-0.983646367503409
551.641014064356,2.55117076249011,-294.990967047478,884.037403597416,0.4303334515053
419.194207200289,2.48501547277639,-95.8928450683631,306.07734809761,0.169470245048163
746.12322787866,2.77427978632868,865.47883934133,1018.93157707775,-1.0239857616959
448.747936503704,2.49184885473249,284.240437071307,408.465902155315,-0.913914994085664
534.050988762578,2.37949767460118,62.9079545801303,923.48557273117,0.115629405975583
498.56625284257,2.49830453232332,-87.9962360441048,948.792831003762,0.146699958799727
468.836864636567,2.88885493075925,-79.0018716183481,385.490214593723,-0.045101827406746
496.166925094363,2.43982108987658,-25.9274626969604,400.155053493891,0.636624034987282
731.671886472324,2.6754292245754,934.91617904792,913.064407238584,-0.110491838121184
468.991694151677,2.48099195731926,44.634695836619,264.010221494715,0.438975058232716
456.816425379895,2.39878734413725,60.1117312557622,437.113997704606,0.0983389937370885
474.595725117039,2.61629179649905,-44.986048835613,966.010340953003,-0.100548416135212
454.592393187396,2.4043420381557,-292.867161866552,865.998390053878,0.334830887960357
679.791010641722,2.55925100858532,886.767722749271,863.635506727339,-0.886505407966713
210.727366186397,3.00522273529644,-356.439681257575,887.573798482512,-1.12714356964383
693.697439204677,2.33612176635236,-17.8741819880972,930.891146193466,0.693739766793781
61.1632711479694,2.74037137155038,-267.523627920104,927.339852878295,-1.10233388528389
387.72023851464,2.54769706015853,50.1040111847471,375.527643607279,-0.966586730295217
428.518186200185,2.32478212742587,99.2312222593739,398.914026971898,-0.0581862780172313
404.649623954825,2.72876308588424,-156.45358632854,337.685457804163,-0.14973816505495
126.402829436972,2.42034244098241,-231.357332397898,861.960450452612,-0.83106720088149
619.522622231528,2.47383956787465,-55.1445858670971,1005.90260910093,0.407621892709346
